SKU,Наличност,Бройки,Цена
942763,Наличен,2,4.20
942766,Наличен,3,3.50
942767,Наличен,1,4.20
942754,Наличен,337,2.50
940289,Наличен,35,1.60
940290,Наличен,169,1.80
944751,Наличен,107,9.60
944752,Наличен,99,10.20
944753,Наличен,75,10.90
948976,Наличен,116,3.20
948977,Изчерпан,0,1.90
948978,Изчерпан,0,2.20
948979,Наличен,5,2.50
949947,Наличен,3,6.60
949948,Наличен,5,6.60
949949,Наличен,9,6.60
949950,Наличен,13,6.60
950360,Изчерпан,0,5.99
950361,Наличен,6,5.99
950488,Наличен,40,5.99
929715,Наличен,1,4.80
929716,Изчерпан,0,5.20
921357,Наличен,4,7.80
921358,Наличен,9,7.80
921359,Изчерпан,0,7.80
921360,Наличен,12,9.20
921361,Наличен,10,9.50
943529,Наличен,6,7.80
944162,Наличен,5,19.40
945545,Наличен,2,12.20
946275,Изчерпан,0,23.50
946277,Изчерпан,0,23.50
946276,Наличен,5,11.70
946278,Изчерпан,0,13.70
954041,Наличен,5,18.60
949138,Изчерпан,0,11.50
949581,Наличен,1,19.20
949586,Наличен,3,85.00
949661,Наличен,1,32.50
949663,Наличен,10,20.30
923346,Наличен,89,1.50
925662,Наличен,16,1.50
925663,Наличен,7,1.50
925670,Наличен,71,1.60
925671,Наличен,139,1.50
374129,Наличен,416,2.20
374451,Наличен,33,2.20
374137,Наличен,29,1.50
374138,Наличен,69,1.80
374139,Наличен,87,1.60
300483,Изчерпан,0,2.90
921733,Изчерпан,0,2.90
949366,Наличен,106,2.90
371241,Наличен,146,2.90
371240,Изчерпан,0,2.80
374136,Наличен,89,1.90
376902,Наличен,34,2.60
376903,Наличен,1,2.60
374128,Наличен,22,1.30
370605,Изчерпан,0,0.80
370606,Наличен,190,0.80
370607,Наличен,412,0.80
370608,Наличен,568,0.80
370602,Наличен,381,0.80
370601,Наличен,78,0.80
370603,Наличен,410,0.80
932301,Наличен,20,4.50
932302,Наличен,20,4.80
932010,Наличен,577,1.20
932011,Изчерпан,0,1.20
932012,Изчерпан,0,1.20
939994,Наличен,7,8.80
940386,Наличен,10,9.80
940387,Наличен,4,9.80
950489,Наличен,40,4.30
942168,Наличен,10,4.30
949364,Наличен,35,4.30
949365,Наличен,42,4.30
943232,Изчерпан,0,3.80
943233,Изчерпан,0,3.80
942725,Наличен,111,1.00
942726,Наличен,71,1.00
942731,Наличен,36,1.00
942732,Наличен,81,1.00
942727,Наличен,1947,1.20
942728,Наличен,2328,1.50
942729,Наличен,1808,1.60
942730,Наличен,1679,1.90
942736,Наличен,1205,1.60
944736,Наличен,53,2.90
944737,Наличен,125,2.90
946798,Наличен,93,1.20
949367,Наличен,10,4.50
949369,Наличен,12,17.80
949370,Наличен,10,4.80
949371,Изчерпан,0,4.80
940488,Наличен,8,7.20
940517,Наличен,12,10.30
925637,Наличен,116,2.90
925639,Изчерпан,0,2.90
925640,Изчерпан,0,2.90
374434,Наличен,13,5.50
374435,Наличен,122,3.20
925636,Наличен,30,4.80
374447,Наличен,35,4.80
374187,Наличен,11,3.60
926492,Наличен,48,9.00
374132,Наличен,23,2.80
374107,Изчерпан,0,5.50
374432,Наличен,111,1.50
374106,Наличен,860,1.50
374133,Наличен,121,2.80
374450,Наличен,43,4.80
374449,Наличен,67,4.80
374433,Наличен,10,5.50
374443,Наличен,56,2.20
374134,Наличен,22,10.00
374453,Наличен,33,6.50
935270,Изчерпан,0,4.90
935271,Наличен,18,6.60
936670,Наличен,6,6.60
939993,Наличен,1,7.80
939983,Изчерпан,0,13.00
941768,Изчерпан,0,7.80
942733,Наличен,25,10.90
940846,Изчерпан,0,36.20
944739,Изчерпан,0,3.80
940507,Наличен,6,9.20
948053,Наличен,3,34.20
940509,Наличен,5,14.90
940482,Наличен,15,8.30
940496,Наличен,5,10.50
940508,Наличен,11,10.80
944943,Наличен,21,14.50
949590,Наличен,3,16.60
949396,Наличен,3,23.50
939989,Изчерпан,0,16.00
939985,Изчерпан,0,27.50
923086,Изчерпан,0,13.10
926159,Наличен,4,2.50
926160,Наличен,7,2.50
925644,Наличен,120,1.30
925645,Наличен,20,1.30
925647,Наличен,130,1.30
925648,Наличен,59,1.90
925651,Наличен,13,2.90
925652,Наличен,57,1.90
925653,Изчерпан,0,1.30
942745,Изчерпан,0,1.80
925654,Наличен,71,1.90
925655,Наличен,76,2.00
925656,Наличен,82,4.80
925657,Наличен,137,1.20
925658,Изчерпан,0,2.20
925659,Наличен,163,3.30
929589,Наличен,70,2.50
374412,Наличен,37,6.50
374413,Наличен,1,6.50
925105,Наличен,13,4.30
